Date,Open,High,Low,Close,Volume,Range,Change,SP500,ForIndex,Class
2/20/2007,0.7401,0.7406,0.7364,0.7388,51563000000,-0.0042,-0.000763517,1459.68,5989.7,Bear
2/21/2007,0.7389,0.7395,0.7338,0.7352,54311000000,-0.0057,-0.002121388,1457.63,5951.8,Bull
2/22/2007,0.7352,0.7421,0.7335,0.7381,58039000000,0.0086,0.001709707,1456.38,6017.1,Bull
2/23/2007,0.7381,0.7413,0.7377,0.739,48702000000,0.0036,0.000529233,1451.19,6036.1,Bear
2/25/2007,0.739,0.7398,0.7367,0.7371,4065000000,-0.0031,-0.001118027,1451.19,6036.1,Bull
2/26/2007,0.7371,0.7395,0.736,0.7375,53594000000,0.0035,0.000235613,1449.37,6044,Bull
2/27/2007,0.7374,0.7437,0.7355,0.7428,54564000000,0.0082,0.00310987,1399.04,5993.8,Bull
2/28/2007,0.7425,0.7465,0.7412,0.7446,51755000000,0.0053,0.001051137,1406.82,5832.5,Bull
3/1/2007,0.7443,0.7485,0.7437,0.7472,56667000000,0.0048,0.001513831,1403.17,5810.2,Bear
3/2/2007,0.7472,0.7475,0.7417,0.745,51043000000,-0.0058,-0.00128059,1387.17,5786,Bull
3/4/2007,0.7445,0.7474,0.7431,0.7469,4136000000,0.0043,0.001106187,1387.17,5786,Bear
3/5/2007,0.7471,0.7482,0.738,0.7389,52038000000,-0.0102,-0.004676793,1374.12,5653.6,Bear
3/6/2007,0.7389,0.7404,0.7313,0.7317,61963000000,-0.0091,-0.004252612,1395.41,5771.8,Bull
3/7/2007,0.7319,0.7361,0.7308,0.7336,55809000000,0.0053,0.001126268,1391.97,5825.3,Bull
3/8/2007,0.7336,0.7376,0.7323,0.7336,57625000000,-0.0053,0,1401.89,5822.3,Bear
3/9/2007,0.7336,0.7367,0.7297,0.7315,54396000000,-0.007,-0.001244992,1402.84,5830.2,Bear
3/11/2007,0.7315,0.7332,0.7302,0.7313,3871000000,-0.003,-0.000118757,1402.84,5830.2,Bull
3/12/2007,0.7315,0.7367,0.7309,0.7342,48274000000,0.0058,0.001718807,1406.6,5891,Bull
3/13/2007,0.7343,0.738,0.7319,0.7371,53613000000,0.0061,0.001712031,1377.95,5865,Bull
3/14/2007,0.737,0.7409,0.736,0.7384,54429000000,0.0049,0.000765277,1387.17,5741.9,Bear
3/15/2007,0.7384,0.7389,0.7333,0.7375,58489000000,-0.0056,-0.000529663,1392.28,5853,Bear
3/16/2007,0.7376,0.7379,0.726,0.7272,55375000000,-0.0119,-0.006108154,1386.95,5836.3,Bear
3/18/2007,0.7272,0.7288,0.7249,0.7269,4489000000,-0.0039,-0.000179201,1386.95,5836.3,Bear
3/19/2007,0.7269,0.7275,0.7172,0.7197,62676000000,-0.0103,-0.004323166,1402.06,5859.7,Bear
3/20/2007,0.7196,0.7217,0.7143,0.7183,59740000000,-0.0074,-0.000845636,1410.94,5876.6,Bull
3/21/2007,0.7184,0.7208,0.7148,0.7203,60183000000,0.006,0.001207548,1435.04,5861.9,Bear
3/22/2007,0.7203,0.7214,0.7105,0.7114,55660000000,-0.0109,-0.005399554,1434.54,5955.7,Bear
3/23/2007,0.7115,0.712,0.7056,0.7083,58904000000,-0.0064,-0.001896619,1436.11,5952.3,Bull
3/25/2007,0.7088,0.7105,0.7065,0.7087,4483000000,0.004,0.000245191,1436.11,5952.3,Bear
3/26/2007,0.7086,0.7091,0.7031,0.7072,60624000000,-0.006,-0.000920181,1437.5,5990.7,Bear
3/27/2007,0.7071,0.7119,0.7037,0.7062,62324000000,-0.0082,-0.000614539,1428.61,5964.2,Bull
3/28/2007,0.7061,0.7088,0.7009,0.7064,59160000000,0.0079,0.000122977,1417.23,5923.2,Bull
3/29/2007,0.7064,0.716,0.7061,0.7147,62974000000,0.0099,0.005073092,1422.53,5960.9,Bull
3/30/2007,0.7147,0.7174,0.7105,0.7162,57036000000,0.0069,0.000910535,1420.86,5995,Bear
4/1/2007,0.716,0.7164,0.7131,0.714,3969000000,-0.0033,-0.001336105,1420.86,5995,Bull
4/2/2007,0.714,0.7187,0.7118,0.7153,71977000000,0.0069,0.000790013,1424.55,5915.8,Bull
4/3/2007,0.7155,0.7231,0.7111,0.7222,75954000000,0.012,0.004169259,1437.77,6013.4,Bull
4/4/2007,0.722,0.7291,0.72,0.7261,69485000000,0.0091,0.002338953,1439.37,6097.2,Bull
4/5/2007,0.7263,0.7329,0.7254,0.7282,73930000000,0.0075,0.001254238,1443.76,6077.1,Bear
4/6/2007,0.7281,0.7342,0.7248,0.7256,62622000000,-0.0094,-0.001553401,1443.76,6077.1,Bull
4/8/2007,0.7254,0.7277,0.7249,0.7262,3593000000,0.0028,0.000358971,1443.76,6077.1,Bull
4/9/2007,0.7262,0.7304,0.7258,0.7284,54423000000,0.0046,0.001313693,1444.61,6077.1,Bull
4/10/2007,0.7284,0.734,0.7258,0.7324,63468000000,0.0082,0.002378399,1448.39,6153,Bear
4/11/2007,0.7325,0.7342,0.7287,0.7313,58515000000,-0.0055,-0.000652762,1438.87,6151.4,Bear
4/12/2007,0.731,0.7331,0.7233,0.7271,66915000000,-0.0098,-0.002501429,1447.8,6158.2,Bull
4/13/2007,0.7272,0.729,0.7255,0.7275,25121000000,0.0035,0.000238853,1452.85,6135.8,Bull
4/15/2007,0.7273,0.7294,0.7266,0.7287,2650000000,0.0028,0.000715772,1452.85,6135.8,Bull
4/16/2007,0.7287,0.7384,0.7285,0.7378,51841000000,0.0099,0.005389881,1468.33,6197.7,Bull
4/17/2007,0.7378,0.7431,0.7366,0.7423,70603000000,0.0065,0.00264081,1471.48,6186.5,Bull
4/18/2007,0.7422,0.7482,0.7405,0.7459,61883000000,0.0077,0.002101147,1472.5,6236.9,Bear
4/19/2007,0.7458,0.746,0.735,0.737,68168000000,-0.011,-0.005213119,1470.73,6165.1,Bull
4/20/2007,0.7368,0.7461,0.7364,0.7438,53864000000,0.0097,0.003988686,1484.35,6207.5,Bull
4/22/2007,0.7454,0.7478,0.7445,0.745,5931000000,0.0033,0.000700099,1484.35,6207.5,Bear
4/23/2007,0.7449,0.7482,0.7413,0.744,68262000000,-0.0069,-0.000583337,1480.93,6209.1,Bull
4/24/2007,0.7442,0.748,0.7427,0.7447,58549000000,0.0053,0.000408418,1480.41,6188.2,Bull
4/25/2007,0.7448,0.7545,0.7427,0.7531,62611000000,0.0118,0.004871294,1495.42,6188.2,Bull
4/26/2007,0.7532,0.758,0.7485,0.7555,65726000000,0.0095,0.001381821,1494.25,6212.2,Bull
4/27/2007,0.7554,0.7605,0.7528,0.7589,55452000000,0.0077,0.001950084,1494.07,6151.6,Bear
4/29/2007,0.7584,0.7589,0.7567,0.758,4401000000,-0.0022,-0.000515347,1494.07,6151.6,Bear
4/30/2007,0.7581,0.7636,0.756,0.7563,51846000000,-0.0076,-0.000975105,1482.37,6166,Bull
