Date,Open,High,Low,Close,Volume,Range,Change,SP500,ForIndex,Class
3/16/2007,1.7564,1.7578,1.7511,1.7562,1.88E+12,-0.0067,-4.95E-05,1386.95,6130.6,Bear
3/18/2007,1.756,1.7565,1.7541,1.7548,1.71E+11,-0.0024,-0.000346347,1386.95,6130.6,Bull
3/19/2007,1.7548,1.7586,1.7526,1.7552,2.43E+12,0.006,9.90E-05,1402.06,6189.4,Bear
3/20/2007,1.7552,1.7552,1.74495,1.7488,2.07E+12,-0.01025,-0.001586466,1410.94,6220.3,Bear
3/21/2007,1.7488,1.7507,1.74515,1.7464,2.39E+12,-0.00555,-0.000596422,1435.04,6256.8,Bear
3/22/2007,1.7464,1.7467,1.7327,1.7337,2.22E+12,-0.014,-0.003169774,1434.54,6318,Bull
3/23/2007,1.7337,1.7444,1.7309,1.7421,2.26E+12,0.0135,0.002099132,1436.11,6339.4,Bull
3/25/2007,1.742,1.7431,1.7413,1.7428,1.49E+11,0.0018,0.000174471,1436.11,6339.4,Bull
3/26/2007,1.7428,1.7494,1.7416,1.7468,2.04E+12,0.0078,0.000995632,1437.5,6291.9,Bear
3/27/2007,1.7469,1.7537,1.7419,1.7426,2.18E+12,-0.0118,-0.001045474,1428.61,6292.6,Bear
3/28/2007,1.7426,1.74415,1.7316,1.735,2.43E+12,-0.01255,-0.001898231,1417.23,6267.2,Bull
3/29/2007,1.735,1.7482,1.7344,1.74705,2.21E+12,0.0138,0.003005855,1422.53,6324.2,Bear
3/30/2007,1.74705,1.7472,1.7335,1.7369,2.01E+12,-0.0137,-0.002530519,1420.86,6308,Bear
4/1/2007,1.7366,1.7376,1.7353,1.7357,1.76E+11,-0.0023,-0.000300152,1420.86,6308,Bull
4/2/2007,1.7357,1.7416,1.7249,1.7398,2.26E+12,0.0167,0.001024663,1424.55,6315.5,Bull
4/3/2007,1.7398,1.7577,1.7369,1.754,2.14E+12,0.0208,0.003530263,1437.77,6366.1,Bear
4/4/2007,1.754,1.7615,1.748,1.7516,2.20E+12,-0.0135,-0.000594653,1439.37,6364.7,Bear
